CustomerID,InvoiceNo,InvoiceDate,Quantity,UnitPrice,TotalAmount,Country,TrueSegment
10001,700000,2023-12-12,2,62.84,125.68,India,Loyal_High_Value
10001,700001,2023-12-24,2,91.78,183.56,India,Loyal_High_Value
10001,700002,2023-12-06,4,57.0,228.0,India,Loyal_High_Value
10001,700003,2023-12-21,2,92.08,184.16,India,Loyal_High_Value
10001,700004,2023-12-08,4,51.44,205.76,India,Loyal_High_Value
10001,700005,2023-12-30,3,64.86,194.58,India,Loyal_High_Value
10001,700006,2023-12-04,2,93.22,186.44,India,Loyal_High_Value
10001,700007,2023-12-06,3,50.49,151.47,India,Loyal_High_Value
10001,700008,2023-12-07,2,86.73,173.46,India,Loyal_High_Value
10001,700009,2023-12-22,4,81.92,327.68,India,Loyal_High_Value
10001,700010,2023-12-17,3,63.98,191.94,India,Loyal_High_Value
10001,700011,2023-12-09,2,53.25,106.5,India,Loyal_High_Value
10001,700012,2023-12-13,4,61.94,247.76,India,Loyal_High_Value
10001,700013,2023-12-25,3,116.42,349.26,India,Loyal_High_Value
10002,700014,2023-12-18,3,76.98,230.94,India,Loyal_High_Value
10002,700015,2023-12-06,2,66.16,132.32,India,Loyal_High_Value
10002,700016,2023-12-04,4,97.83,391.32,India,Loyal_High_Value
10002,700017,2023-12-20,2,108.32,216.64,India,Loyal_High_Value
10002,700018,2023-12-29,3,77.37,232.11,India,Loyal_High_Value
10002,700019,2023-12-14,3,79.76,239.28,India,Loyal_High_Value
10002,700020,2023-12-10,3,89.74,269.22,India,Loyal_High_Value
10002,700021,2023-12-03,4,108.96,435.84,India,Loyal_High_Value
10002,700022,2023-12-20,3,77.66,232.98,India,Loyal_High_Value
10002,700023,2023-12-28,3,100.91,302.73,India,Loyal_High_Value
10002,700024,2023-12-17,3,63.72,191.16,India,Loyal_High_Value
10003,700025,2023-12-24,2,77.21,154.42,India,Loyal_High_Value
10003,700026,2023-12-14,4,108.01,432.04,India,Loyal_High_Value
10003,700027,2023-12-06,2,69.67,139.34,India,Loyal_High_Value
10003,700028,2023-12-04,2,59.86,119.72,India,Loyal_High_Value
10003,700029,2023-12-17,2,55.22,110.44,India,Loyal_High_Value
10003,700030,2023-12-25,2,104.06,208.12,India,Loyal_High_Value
10003,700031,2023-12-20,4,107.08,428.32,India,Loyal_High_Value
10003,700032,2023-12-15,4,105.31,421.24,India,Loyal_High_Value
10004,700033,2023-12-27,3,75.09,225.27,India,Loyal_High_Value
10004,700034,2023-12-23,4,109.5,438.0,India,Loyal_High_Value
10004,700035,2023-12-20,3,56.68,170.04,India,Loyal_High_Value
10004,700036,2023-12-09,4,96.82,387.28,India,Loyal_High_Value
10004,700037,2023-12-27,4,91.39,365.56,India,Loyal_High_Value
10004,700038,2023-12-10,4,89.29,357.16,India,Loyal_High_Value
10004,700039,2023-12-29,2,118.02,236.04,India,Loyal_High_Value
10004,700040,2023-12-29,2,100.52,201.04,India,Loyal_High_Value
10004,700041,2023-12-09,4,67.92,271.68,India,Loyal_High_Value
10004,700042,2023-12-05,2,99.75,199.5,India,Loyal_High_Value
10005,700043,2023-12-22,2,64.12,128.24,India,Loyal_High_Value
10005,700044,2023-12-25,2,72.0,144.0,India,Loyal_High_Value
10005,700045,2023-12-28,3,59.75,179.25,India,Loyal_High_Value
10005,700046,2023-12-25,2,87.79,175.58,India,Loyal_High_Value
10005,700047,2023-12-03,2,55.39,110.78,India,Loyal_High_Value
10005,700048,2023-12-05,4,61.29,245.16,India,Loyal_High_Value
10005,700049,2023-12-30,3,106.57,319.71,India,Loyal_High_Value
10005,700050,2023-12-07,2,111.0,222.0,India,Loyal_High_Value
10005,700051,2023-12-04,3,111.83,335.49,India,Loyal_High_Value
10006,700052,2023-12-09,2,72.26,144.52,India,Loyal_High_Value
10006,700053,2023-12-31,2,65.96,131.92,India,Loyal_High_Value
10006,700054,2023-12-07,2,110.25,220.5,India,Loyal_High_Value
10006,700055,2023-12-25,3,85.75,257.25,India,Loyal_High_Value
10006,700056,2023-12-23,3,65.55,196.65,India,Loyal_High_Value
10006,700057,2023-12-13,3,73.63,220.89,India,Loyal_High_Value
10006,700058,2023-12-17,4,72.62,290.48,India,Loyal_High_Value
10006,700059,2023-12-08,2,78.27,156.54,India,Loyal_High_Value
10006,700060,2023-12-15,3,117.37,352.11,India,Loyal_High_Value
10007,700061,2023-12-25,3,99.86,299.58,India,Loyal_High_Value
10007,700062,2023-12-27,2,119.84,239.68,India,Loyal_High_Value
10007,700063,2023-12-05,2,118.36,236.72,India,Loyal_High_Value
10007,700064,2023-12-04,3,52.31,156.93,India,Loyal_High_Value
10007,700065,2023-12-31,2,66.77,133.54,India,Loyal_High_Value
10007,700066,2023-12-30,2,84.26,168.52,India,Loyal_High_Value
10007,700067,2023-12-26,4,97.05,388.2,India,Loyal_High_Value
10007,700068,2023-12-21,4,66.95,267.8,India,Loyal_High_Value
10007,700069,2023-12-26,2,94.26,188.52,India,Loyal_High_Value
10007,700070,2023-12-26,3,87.5,262.5,India,Loyal_High_Value
10007,700071,2023-12-16,2,60.55,121.1,India,Loyal_High_Value
10007,700072,2023-12-05,3,98.71,296.13,India,Loyal_High_Value
10007,700073,2023-12-29,4,65.42,261.68,India,Loyal_High_Value
10008,700074,2023-12-29,4,65.85,263.4,India,Loyal_High_Value
10008,700075,2023-12-25,2,98.37,196.74,India,Loyal_High_Value
10008,700076,2023-12-25,3,108.64,325.92,India,Loyal_High_Value
10008,700077,2023-12-21,2,57.94,115.88,India,Loyal_High_Value
10008,700078,2023-12-09,4,111.41,445.64,India,Loyal_High_Value
10008,700079,2023-12-29,4,96.2,384.8,India,Loyal_High_Value
10008,700080,2023-12-06,2,86.16,172.32,India,Loyal_High_Value
10008,700081,2023-12-15,3,119.74,359.22,India,Loyal_High_Value
10008,700082,2023-12-20,2,113.03,226.06,India,Loyal_High_Value
10009,700083,2023-12-09,2,69.52,139.04,India,Loyal_High_Value
10009,700084,2023-12-13,4,109.94,439.76,India,Loyal_High_Value
10009,700085,2023-12-10,2,94.94,189.88,India,Loyal_High_Value
10009,700086,2023-12-21,2,61.31,122.62,India,Loyal_High_Value
10009,700087,2023-12-26,3,50.64,151.92,India,Loyal_High_Value
10009,700088,2023-12-07,4,118.16,472.64,India,Loyal_High_Value
10009,700089,2023-12-14,3,88.41,265.23,India,Loyal_High_Value
10009,700090,2023-12-10,4,95.64,382.56,India,Loyal_High_Value
10009,700091,2023-12-23,2,51.27,102.54,India,Loyal_High_Value
10009,700092,2023-12-18,2,62.52,125.04,India,Loyal_High_Value
10010,700093,2023-12-29,2,71.56,143.12,India,Loyal_High_Value
10010,700094,2023-12-16,4,75.74,302.96,India,Loyal_High_Value
10010,700095,2023-12-09,3,67.08,201.24,India,Loyal_High_Value
10010,700096,2023-12-26,3,77.52,232.56,India,Loyal_High_Value
10010,700097,2023-12-10,4,80.41,321.64,India,Loyal_High_Value
10010,700098,2023-12-11,3,95.16,285.48,India,Loyal_High_Value
10010,700099,2023-12-17,2,63.67,127.34,India,Loyal_High_Value
10010,700100,2023-12-03,4,90.04,360.16,India,Loyal_High_Value
10010,700101,2023-12-15,2,119.62,239.24,India,Loyal_High_Value
10010,700102,2023-12-03,3,114.04,342.12,India,Loyal_High_Value
10010,700103,2023-12-29,2,116.72,233.44,India,Loyal_High_Value
10010,700104,2023-12-03,2,88.69,177.38,India,Loyal_High_Value
